Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,47.7812,48.75,46.875,48.375,35.577244,7600
2000-01-04,48.375,49.75,47.625,49.3437,36.28968,6800
2000-01-05,49.4687,51,48.5,51,37.50779,10200
2000-01-06,49.375,51.25,49.25,50.0625,36.818314,4300
2000-01-07,50.5,51,49.8125,50,36.772362,6900
2000-01-10,50.875,51.25,50,50.875,37.415855,10800
2000-01-11,50.6875,51.0625,50,50.375,37.04813,5700
2000-01-12,50.9375,51.0625,50,50,36.772362,11300
2000-01-13,50.125,52,50.0625,52,38.243244,11700
2000-01-14,52.125,52.25,50.5,50.5,37.140076,12500
2000-01-18,51.25,51.5,50,50,36.772362,9700
2000-01-19,50.375,51,49.5,49.625,36.496552,10000
2000-01-20,50.0625,50.125,49.625,50.125,36.864277,4500
2000-01-21,49.5937,49.5937,48.875,49,36.036907,5000
2000-01-24,49.3437,49.8125,47.25,47.2812,34.77282,14900
2000-01-25,47.125,48,46.5,47.5625,34.97971,10900
2000-01-26,48,49,47.5,49,36.036907,8600
2000-01-27,49.6875,50,47.75,49.375,36.312702,18300
2000-01-28,48.75,50.125,48.75,50.0625,36.818314,8300
2000-01-31,50.4375,51,49.75,50.75,37.323929,11300
2000-02-01,50.9375,50.9375,47,47,34.566013,9600
2000-02-02,47.3125,49.375,47,48.25,35.485313,5200
2000-02-03,48.5,50.125,47.75,48.25,35.485313,8200
2000-02-04,48,48.25,47.5,47.5,34.933731,6200
2000-02-07,47.25,48,46.5,47,34.566013,11100
2000-02-08,47,48,46.75,47.4375,34.887775,5100
2000-02-09,47.75,49.125,47.25,48.6562,35.784058,11800
2000-02-10,48.0625,49.75,48,49.125,36.128845,15200
2000-02-11,48.875,49.75,48.5,49,36.036907,23500
2000-02-14,49,49.5,48.75,49.5,36.404629,4200
2000-02-15,48.75,49.5,48.75,49.5,36.404629,7200
2000-02-16,49.5,49.75,49,49.25,36.404629,2500
2000-02-17,49.375,49.75,49.25,49.5,36.589405,12800
2000-02-18,49.5,49.75,49.25,49.5625,36.635609,5500
2000-02-22,49.25,50,49.25,49.75,36.774231,17700
2000-02-23,49.75,50.25,49.5,50,36.959023,7000
2000-02-24,49.75,50.75,49.75,50.125,37.051407,10500
2000-02-25,50.75,50.75,50,50.2812,37.166866,11500
2000-02-28,50.9375,50.9375,50,50.125,37.051407,8000
2000-02-29,50,50.875,50,50.4687,37.305466,12800
2000-03-01,50.75,50.8125,50.25,50.4062,37.259262,4300
2000-03-02,50.3125,50.875,49.9375,50.625,37.420998,6700
2000-03-03,50.625,51,50.25,51,37.698181,11400
2000-03-06,50.5,51.0625,50.5,50.5,37.328613,3500
2000-03-07,50.9375,50.9375,50.25,50.9375,37.651985,20500
2000-03-08,50.7812,53,50.5625,53,39.176567,10100
2000-03-09,52,53,50.625,50.625,37.420998,1600
2000-03-10,50.875,51.3125,50.875,51.125,37.7906,10700
2000-03-13,50.8125,51.375,50.75,51.0312,37.721245,9500
2000-03-14,51.875,52.25,51.5,51.6875,38.206387,6800
2000-03-15,51.625,52.25,51,52,38.437374,5000
2000-03-16,51.5625,52.8125,51,52,38.437374,9500
2000-03-17,51.3125,53,51.3125,51.75,38.252583,5900
2000-03-20,52.9375,52.9375,51.4375,51.4375,38.02158,9300
2000-03-21,52.625,52.625,51.4375,51.4375,38.02158,2500
2000-03-22,51.7187,52.25,51.4375,52.125,38.529778,5100
2000-03-23,53,53,51.4375,52.75,38.991745,9200
2000-03-24,52.3125,53,51.4375,51.5625,38.113979,14700
2000-03-27,52,52,51.4375,51.4375,38.02158,3100
2000-03-28,52.125,52.5,51.75,51.75,38.252583,2300
