Index,Open,High,Low,Close,adj,Volume
2002-07-30,81.75,81.900002,81.519997,81.519997,45.728237,6100
2002-07-31,81.949997,82.800003,81.900002,82.529999,46.294781,29400
2002-08-01,82.540001,83.019997,82.540001,83,46.558399,25000
2002-08-02,83.160004,84.099998,82.879997,83.849998,47.035179,52800
2002-08-05,84.040001,84.440002,83.849998,84.220001,47.24276,61100
2002-08-06,83.870003,83.900002,83.220001,83.5,46.83889,64900
2002-08-07,83.599998,84.139999,83.360001,83.699997,46.95108,40300
2002-08-08,83.580002,83.769997,83.360001,83.699997,46.95108,40900
2002-08-09,84,84.879997,84,84.879997,47.612961,35900
2002-08-12,85.300003,86.699997,85.139999,85.400002,47.904697,32100
2002-08-13,85.779999,86.470001,85.370003,86.449997,48.493664,75400
2002-08-14,87.459999,87.900002,86.75,86.779999,48.678753,130000
2002-08-15,86.379997,86.5,85.849998,86.019997,48.252438,87100
2002-08-16,86.440002,86.519997,84.82,85.059998,47.713978,85000
2002-08-19,85.050003,85.339996,84.709999,85.32,47.859787,47300
2002-08-20,85.620003,86.290001,85.599998,86.269997,48.392693,40800
2002-08-21,85.68,86.099998,85.629997,85.809998,48.134663,40000
2002-08-22,85.550003,85.550003,85.059998,85.059998,47.713978,34400
2002-08-23,85.199997,85.949997,85.199997,85.900002,48.185177,20100
2002-08-26,85.699997,86.209999,85.669998,85.980003,48.230034,23900
2002-08-27,85.400002,85.68,85.199997,85.440002,47.927132,301800
2002-08-28,86.040001,86.18,85.839996,85.870003,48.168297,18100
2002-08-29,86.760002,86.860001,86.349998,86.559998,48.555363,135700
2002-08-30,86.75,87.129997,86.449997,87.080002,48.847061,78100
2002-09-03,87.080002,88.040001,87,88.040001,49.598019,102100
2002-09-04,88.029999,88.300003,87.839996,88.019997,49.586754,66300
2002-09-05,88.57,88.650002,87.379997,88.5,49.857182,648400
2002-09-06,87.970001,88.190002,87.199997,87.459999,49.271255,140000
2002-09-09,87.5,87.830002,87.260002,87.330002,49.198051,83800
2002-09-10,87.169998,88,87,87.75,49.434624,336000
2002-09-11,87,87.300003,86.75,87.290001,49.175529,177700
2002-09-12,87.480003,88.139999,87.470001,87.970001,49.558571,43400
2002-09-13,88.330002,88.940002,88.18,88.779999,50.014893,155100
2002-09-16,89.199997,89.220001,88.900002,88.93,50.099392,73000
2002-09-17,88.639999,89.32,88.360001,89.099998,50.19516,75400
2002-09-18,89.160004,89.559998,89.019997,89.120003,50.206444,196600
2002-09-19,89.699997,89.769997,89.260002,89.720001,50.544434,109900
2002-09-20,89.449997,89.519997,89.059998,89.300003,50.307858,113500
2002-09-23,90,90.239998,89.769997,90.099998,50.758511,163200
2002-09-24,90.300003,90.940002,90.209999,90.68,51.085251,251900
2002-09-25,90.099998,90.360001,89.260002,89.580002,50.465607,127200
2002-09-26,89.050003,89.529999,88.610001,89.370003,50.347271,429000
2002-09-27,89.529999,90.040001,89.480003,90.040001,50.724716,298200
2002-09-30,90.660004,90.900002,90.080002,90.400002,50.92754,297800
2002-10-01,89.160004,89.300003,88.800003,88.940002,50.29591,257500
2002-10-02,89.239998,89.480003,88.839996,89.449997,50.584286,91000
2002-10-03,89.300003,89.510002,88.800003,89.230003,50.459888,29900
2002-10-04,88.400002,89.720001,88.400002,89.510002,50.618233,131000
2002-10-07,89.900002,89.959999,89.459999,89.660004,50.703049,433800
2002-10-08,89.5,90.519997,89.360001,89.690002,50.719978,530900
2002-10-09,90.300003,90.379997,89.949997,90.150002,50.980141,402900
2002-10-10,90.169998,90.169998,89.279999,89.440002,50.578629,97100
2002-10-11,89.099998,89.220001,88.059998,88.379997,49.979191,421800
2002-10-14,88.5,88.550003,88.07,88.25,49.905689,18300
2002-10-15,87,87.300003,86.150002,86.160004,48.723793,297100
2002-10-16,86.599998,86.599998,85.889999,86.199997,48.746426,125200
2002-10-17,85.139999,85.559998,85.07,85.150002,48.152618,233400
2002-10-18,85.019997,85.389999,84.279999,85.370003,48.277027,459100
2002-10-21,85.5,85.599998,84.5,84.540001,47.807652,134900
2002-10-22,84.849998,84.849998,84.220001,84.300003,47.671928,205000
2002-10-23,84.75,85.199997,84.18,84.330002,47.688896,127800
2002-10-24,84.160004,85.25,84.080002,85.07,48.107365,339600
2002-10-25,85.349998,85.559998,85.150002,85.379997,48.282707,146100
2002-10-28,85.559998,85.639999,85.199997,85.260002,48.214813,97800
2002-10-29,85.82,86.889999,85.769997,86.370003,48.842548,125000
2002-10-30,86.370003,86.68,86.07,86.339996,48.825546,31900
2002-10-31,86.050003,86.860001,86.019997,86.730003,49.046097,512700
2002-11-01,86.300003,86.93,85.25,85.980003,48.841022,125100
2002-11-04,85.480003,85.75,85.25,85.599998,48.625164,342500
2002-11-05,85.599998,85.599998,85.089996,85.269997,48.437721,73800
2002-11-06,85.050003,86.129997,84.910004,85.610001,48.63084,118500
2002-11-07,87.050003,87.730003,86.849998,87.730003,49.835133,147900
2002-11-08,88.400002,88.650002,87.949997,88.440002,50.238461,294700
2002-11-11,88.550003,88.919998,88.400002,88.919998,50.511112,70000
