date,FL892090005.Q,LM152010005.Q,LM155035005.Q,LM165015205.Q,LM165013765.Q,LM155111005.Q,LM112010005.Q,LM115035005.Q,LM115015205.Q,LM115013765.Q,LM115020005.Q,LM662090205.Q,LM883164105.Q,LM103164103.Q,LM793164105.Q,LM315015005.Q,LM315014665.Q,LM315013265.Q,LM315013765.Q,LM212010095.Q,LM215015605.Q,LM215013265.Q,LM215013765.Q,FL882090265.Q,FL264194005.Q,LM263164100.Q,FL264190005.Q,FL264090005.Q,LM263064105.Q,FL264090035.Q,FL892090005.Q,FC892090005.Q,PC892090005.Q,FL152090005.Q,FC152090005.Q,PC152090005.Q
1945:Q4,732955,189324,134635,436,257,53996,188688,151676,10964,1942,24107,0,151910,103694,48216,135721,54203,77510,4008,66207,64931,993,283,1105,14523,942,13581,13418,2700,10718,732955,ND,ND,806530,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,804807,220712,158074,590,292,61756,227819,179671,13074,2162,32912,0,145655,97302,48353,132686,58350,69624,4712,73034,71615,1099,320,4901,16756,1001,15755,11855,2690,9165,804807,71851,9.80295660463754,885126,78596,9.74493998571562
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,916913,280809,206381,768,310,73350,262959,206256,17091,2507,37106,0,143857,95116,48741,124219,60427,58568,5224,93348,91580,1452,316,11721,23622,972,22650,11901,2480,9421,916913,112107,13.9296260577322,984117,98991,11.1838277925154
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,969614,313676,229359,944,310,83063,281247,218473,21751,2667,38356,0,143064,94141,48923,116197,61973,48385,5839,101692,99593,1788,311,13738,26311,944,25367,12573,2305,10268,969614,52701,5.74761754354278,1036947,52831,5.36832995228185
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,995905,340055,246931,1043,315,91766,284457,223629,23747,2777,34304,0,153076,103822,49254,106730,59717,40563,6450,97248,95103,1831,314,14339,27842,708,27134,13503,2490,11013,995905,26291,2.71153107667674,1079365,42418,4.09064175803261
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1097331,387345,278126,1346,345,107528,304107,236564,28428,3009,36106,0,176353,126681,49672,106631,63069,36166,7396,109628,107032,2256,340,13267,29604,1175,28429,16337,2925,13412,1097331,101426,10.1842548953445,1171476,92111,8.53380143534005
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1220469,430981,308963,1592,366,120060,333817,255779,31394,3103,43541,0,197692,147629,50063,120256,71927,39900,8429,123206,120380,2464,362,14517,31671,1390,30281,17154,3450,13704,1220469,123138,11.2215794797057,1280571,109095,9.31263330815908
