Date,BAC,S&P500
03/01/2000,24.21875,1455.219971
04/01/2000,22.78125,1399.420044
05/01/2000,23.03125,1402.109985
06/01/2000,25,1403.449951
07/01/2000,24.34375,1441.469971
10/01/2000,23.5,1457.599976
11/01/2000,23,1438.560059
12/01/2000,23.25,1432.25
13/01/2000,23.78125,1449.680054
14/01/2000,25.25,1465.150024
18/01/2000,24,1455.140015
19/01/2000,24,1455.900024
20/01/2000,23.539049,1445.569946
21/01/2000,22.84375,1441.359985
24/01/2000,22.28125,1401.530029
25/01/2000,22.5625,1410.030029
26/01/2000,23.5625,1404.089966
27/01/2000,24.0625,1398.560059
28/01/2000,22.875,1360.160034
31/01/2000,24.21875,1394.459961
01/02/2000,24.5,1409.280029
02/02/2000,23.875,1409.119995
03/02/2000,23.21875,1424.969971
04/02/2000,22.9375,1424.369995
07/02/2000,22.65625,1424.23999
08/02/2000,23.5625,1441.719971
09/02/2000,23.03125,1411.709961
10/02/2000,22.4375,1416.829956
11/02/2000,22.59375,1387.119995
14/02/2000,22.125,1389.939941
15/02/2000,22.8125,1402.050049
16/02/2000,22.59375,1387.670044
17/02/2000,22.3125,1388.26001
18/02/2000,21.875,1346.089966
22/02/2000,22.375,1352.170044
23/02/2000,22.875,1360.689941
24/02/2000,22.40625,1353.430054
25/02/2000,22.0625,1333.359985
28/02/2000,22.96875,1348.050049
29/02/2000,23,1366.420044
01/03/2000,22.78125,1379.189941
02/03/2000,22.53125,1381.76001
03/03/2000,22.5,1409.170044
06/03/2000,22.25,1391.280029
07/03/2000,22,1355.619995
08/03/2000,21.8125,1366.699951
09/03/2000,21.53125,1401.689941
10/03/2000,21.4375,1395.069946
13/03/2000,21.59375,1383.619995
14/03/2000,21.3125,1359.150024
15/03/2000,22.9375,1392.140015
16/03/2000,24.625,1458.469971
17/03/2000,25,1464.469971
20/03/2000,24.8125,1456.630005
21/03/2000,25.5,1493.869995
22/03/2000,25.71875,1500.640015
23/03/2000,27.09375,1527.349976
24/03/2000,27.3125,1527.459961
27/03/2000,27.0625,1523.859985
28/03/2000,26.78125,1507.72998
29/03/2000,26,1508.52002
30/03/2000,25.40625,1487.920044
31/03/2000,26.21875,1498.579956
03/04/2000,27.75,1505.969971
04/04/2000,27.09375,1494.72998
05/04/2000,27,1487.369995
06/04/2000,26.71875,1501.339966
07/04/2000,26.15625,1516.349976
10/04/2000,26.40625,1504.459961
11/04/2000,26.17185,1500.589966
12/04/2000,27.28125,1467.170044
13/04/2000,26.40625,1440.51001
14/04/2000,24.96875,1356.560059
17/04/2000,25.15625,1401.439941
18/04/2000,25.5,1441.609985
19/04/2000,24.71875,1427.469971
20/04/2000,24.78125,1434.540039
24/04/2000,25.75,1429.859985
25/04/2000,26.71875,1477.439941
